"analysis","k","pooled_mean","tau2_REML","conventional_se","hk_scale_q","hk_raw_se","used_se","df","ci_low","ci_high","t_statistic","p_value","Q","Q_df","Q_p","I2_percent","direction","note"
"PRIMARY_PC0_5",3,-0.463817515521259,0.410850311837158,0.595485766194868,1.37045478094501,0.697113896524516,0.697113896524516,2,-3.46325652534875,2.53562149430623,-0.665339649422621,0.574293386779268,3.72202809388523,2,0.155514851024474,46.2658542721449,"NEGATIVE","Three natural-history cohorts; frozen ALL_PAIRED; double-zero pairs are missing"
"SENSITIVITY_PC0_1",3,-0.495779586524837,0.363235648611321,0.589459950755047,1.49659987374382,0.721119360531118,0.721119360531118,2,-3.59850577158924,2.60694659853956,-0.687513903606312,0.562782099865001,3.80466724290101,2,0.149219989627459,47.4329850072505,"NEGATIVE","Prespecified meta-analysis sensitivity"
"SENSITIVITY_PC1",3,-0.455071574467044,0.392444426132992,0.584540371422474,1.33810436343176,0.676175614899888,0.676175614899888,2,-3.36442042970607,2.45427728077198,-0.673007964853066,0.570288708196514,3.65885814319024,2,0.160505178586663,45.3381376995349,"NEGATIVE","Prespecified meta-analysis sensitivity"
"SENSITIVITY_NONZERO_ONLY",3,-0.800329393639307,0,0.434168790226857,0.357430112472661,0.259569804685011,0.434168790226857,2,-2.66840692408092,1.0677481368023,-1.84336002876008,0.206595455833397,0.714860224945322,2,0.699471581573846,0,"NEGATIVE","Prespecified meta-analysis sensitivity"
"SENSITIVITY_COMMON_ANCHOR",3,-0.589245482622472,0,0.424378452846045,1.21593297378705,0.467959365119659,0.467959365119659,2,-2.6027121223664,1.42422115712145,-1.2591808745441,0.335016229301957,2.43186594757409,2,0.29643332072235,17.7586247303187,"NEGATIVE","Prespecified meta-analysis sensitivity"
"LEAVE_ONE_OUT_EXCLUDE_PRJNA691455",2,-0.104787610093128,2.98782475590886,1.42248222877352,0.999999988969722,1.42248222092833,1.42248222877352,1,-18.1791380424595,17.9695628222733,-0.0736653210658931,0.953187754674683,3.71357770710063,1,0.0539715883234167,73.0717900937436,"NEGATIVE","k=2 instability diagnostic; not a primary significance result"
"LEAVE_ONE_OUT_EXCLUDE_PRJNA851469",2,0.150931595828401,1.18739508170603,0.981327868787386,0.99999999900951,0.981327868301388,0.981327868787386,1,-12.3180212182981,12.6198844099549,0.153803433723844,0.902846987129822,2.30195118870488,1,0.129211592535975,56.5585923408472,"POSITIVE","k=2 instability diagnostic; not a primary significance result"
"LEAVE_ONE_OUT_EXCLUDE_PRJNA516701",2,-0.830515268017089,0,0.461466352389538,0.660060652918558,0.374914262741944,0.461466352389538,1,-6.6940012203343,5.03297068430012,-1.79973093101277,0.322869338728047,0.660060652918558,1,0.416538531334712,0,"NEGATIVE","k=2 instability diagnostic; not a primary significance result"
