"project","scheme","subset","n","mean","sd","se","ci_low","ci_high","hedges_gz","hedges_gz_se","hedges_ci_low","hedges_ci_high","t_p","wilcoxon_p"
"PRJNA516701","bray","FROZEN_ALL_15",15,0.195325177805387,0.313551279438552,0.0809585922298361,0.0216862669182685,0.368964088692505,0.588966109557881,0.266748925224268,0.0168465657204885,1.16108565339527,0.0301292861890962,0.0198779584899142
"PRJNA516701","bray","SAME_EARLY_LATE_11",11,0.274220623334747,0.333257428665865,0.100480895407573,0.0503352363947642,0.49810601027473,0.759553148583726,0.322001058535652,0.0420900796797326,1.47701621748772,0.0212268224028113,0.0127921602477329
"PRJNA516701","bray","SAME_ALL_AVAILABLE_10",10,0.306307021573019,0.332892387166433,0.105269815917653,0.0681701534684507,0.544443889677587,0.841269265402582,0.344932653687997,0.0609773921792865,1.62156113862588,0.0173187842211865,0.0069104298078148
"PRJNA516701","bray","SAME_ALL_WITH_EXPLICIT_ANCHOR_9",9,0.231022919066649,0.246795316199282,0.0822651053997605,0.0413192458317942,0.420726592301503,0.845501712092001,0.36105607905689,0.0129049007462094,1.67809852343779,0.022903909764606,0.0108622247048156
"PRJNA516701","bray","STOOL_ALL_AVAILABLE_5",5,0.486098547643035,0.377624435882215,0.168878781719528,0.0172158807660838,0.954981214519987,1.02980316198532,0.48378658026396,-0.313403720748928,2.37301004471957,0.0450862049268584,0.0431144467830754
"PRJNA516701","bray","RECTAL_SWAB_ALL_AVAILABLE_5",5,0.126515495503002,0.161016525652649,0.0720087793720322,-0.0734129275157443,0.326443918521749,0.628583904615737,0.4092820207561,-0.507765158557998,1.76493296778947,0.153764089819455,0.0796158014601134
"PRJNA516701","aitchison_CZM","FROZEN_ALL_15",15,8.21659422677543,10.3211826687707,2.66491790595424,2.50091377769099,13.9322746758599,0.752667267808918,0.280135479787445,0.151836419947339,1.3534981156705,0.00809740318385789,0.00261077674052594
"PRJNA516701","aitchison_CZM","SAME_EARLY_LATE_11",11,8.76548578454861,11.5266352779624,3.47541130111592,1.02178683790006,16.5091847311972,0.701958329743037,0.316003992245348,-0.00214244276159181,1.40605910224767,0.0302759040627727,0.00764576169299163
"PRJNA516701","aitchison_CZM","SAME_ALL_AVAILABLE_10",10,9.11353986322823,12.0890567030511,3.82289539445673,0.465549664029675,17.7615300624268,0.689249749438266,0.327635617095775,-0.0519135085627522,1.43041300743928,0.0409625273576724,0.012515318690074
"PRJNA516701","aitchison_CZM","SAME_ALL_WITH_EXPLICIT_ANCHOR_9",9,5.86160302646271,6.74119092407018,2.24706364135673,0.67986497742716,11.0433410754983,0.785373264206464,0.353431187629899,-0.0296405159782012,1.60038704439113,0.0311999717718001,0.0208792631663517
"PRJNA516701","aitchison_CZM","STOOL_ALL_AVAILABLE_5",5,16.3686099799129,13.6038954019488,6.08384697551085,-0.522857176016618,33.2600771358424,0.96258370099306,0.469741139503184,-0.341626786490589,2.26679418847671,0.0546295285305613,0.0431144467830754
"PRJNA516701","aitchison_CZM","RECTAL_SWAB_ALL_AVAILABLE_5",5,1.85846974654359,3.48867178584873,1.56018145286867,-2.473288411494,6.19022790458119,0.426172448570759,0.382311777992883,-0.635295216097047,1.48764011323856,0.299430239548859,0.224915884015962
"PRJNA516701","SECONDARY_FAMILY_BALANCE","FROZEN_ALL_15",12,1.46992918294372,4.26431322614837,1.23100119451282,-1.23948617823409,4.17934454412152,0.320655615949848,0.276396849994549,-0.287689749184229,0.929000981083925,0.257556379279075,0.289587424426888
"PRJNA516701","SECONDARY_FAMILY_BALANCE","SAME_EARLY_LATE_11",10,1.79333824409927,4.5976779581666,1.45391342957588,-1.49564243470432,5.08231892290285,0.356619918224114,0.299917863820084,-0.321841425667626,1.03508126211585,0.248647522950421,0.262192602406773
"PRJNA516701","SECONDARY_FAMILY_BALANCE","SAME_ALL_AVAILABLE_10",9,1.54852017781938,4.80694229423923,1.60231409807974,-2.14642275824843,5.2434631138872,0.29096737609971,0.308787568909498,-0.421098034705234,1.00303278690465,0.362133416588332,0.406941216918031
"PRJNA516701","SECONDARY_FAMILY_BALANCE","SAME_ALL_WITH_EXPLICIT_ANCHOR_9",8,0.545516992814207,4.00750092672245,1.41686554044841,-2.80483762537621,3.89587161100463,0.120999097063019,0.315722157825349,-0.625565174096005,0.867563368222043,0.711656271954621,0.726286148878805
"PRJNA516701","SECONDARY_FAMILY_BALANCE","STOOL_ALL_AVAILABLE_5",5,2.9273842651699,4.07385629530083,1.82188392137162,-2.13097643056091,7.9857449609007,0.574862548499144,0.401306235893106,-0.539342185831621,1.68906728282991,0.183376822551707,0.177529852412153
"PRJNA516701","SECONDARY_FAMILY_BALANCE","RECTAL_SWAB_ALL_AVAILABLE_5",4,-0.175059931368756,5.6885583666994,2.8442791833497,-9.22682570961537,8.87670584687786,-0.0223811211058388,0.363722448140642,-1.17990828233977,1.13514604012809,0.95479372858351,0.855132140584706
