"check","observed","expected","absolute_difference","tolerance","status"
"COMPLETE_CASE_SENSITIVITY::aitchison_from_T0_CZM::hedges_gz_se",0.192763987733888,0.192763987733888,0,2e-08,"PASS"
"COMPLETE_CASE_SENSITIVITY::aitchison_from_T0_CZM::hedges_ci_low",0.182350348088096,0.182350348088096,0,2e-08,"PASS"
"COMPLETE_CASE_SENSITIVITY::aitchison_from_T0_CZM::hedges_ci_high",0.970843591386203,0.970843591386203,0,2e-08,"PASS"
"COMPLETE_CASE_SENSITIVITY::aitchison_from_T0_CZM::t_p",0.00297444096478935,0.00297444096478935,0,2e-08,"PASS"
"COMPLETE_CASE_SENSITIVITY::aitchison_from_T0_CZM::wilcoxon_p",0.00821673645759043,0.00821673645759043,0,2e-08,"PASS"
"BALANCE::PRJNA691455::n",9,9,0,2e-08,"PASS"
"BALANCE::PRJNA691455::mean",-0.579171623853042,-0.579171623853042,1.11022302462516e-16,2e-08,"PASS"
"BALANCE::PRJNA691455::sd",1.66671537655041,1.66671537655041,3.99680288865056e-15,2e-08,"PASS"
"BALANCE::PRJNA691455::se",0.555571792183471,0.555571792183471,3.33066907387547e-16,2e-08,"PASS"
"BALANCE::PRJNA691455::ci_low",-1.86032247403092,-1.86032247403092,3.77475828372553e-15,2e-08,"PASS"
"BALANCE::PRJNA691455::ci_high",0.701979226324833,0.701979226324833,3.33066907387547e-16,2e-08,"PASS"
"BALANCE::PRJNA691455::cohen_dz",-0.34749281851095,-0.34749281851095,4.44089209850063e-16,2e-08,"PASS"
"BALANCE::PRJNA691455::t_p",0.327665962025797,0.327665962025797,1.66533453693773e-16,2e-08,"PASS"
"BALANCE::PRJNA691455::wilcoxon_p",0.406941216918031,0.406941216918031,4.44089209850063e-16,2e-08,"PASS"
"BALANCE::PRJNA851469::n",14,14,0,2e-08,"PASS"
"BALANCE::PRJNA851469::mean",-1.38975242268966,-1.38975242268966,4.88498130835069e-15,2e-08,"PASS"
"BALANCE::PRJNA851469::sd",3.10076076524428,3.10076076524428,3.10862446895044e-15,2e-08,"PASS"
"BALANCE::PRJNA851469::se",0.828713172992507,0.828713172992507,4.44089209850063e-16,2e-08,"PASS"
"BALANCE::PRJNA851469::ci_low",-3.18007838682049,-3.18007838682049,3.99680288865056e-15,2e-08,"PASS"
"BALANCE::PRJNA851469::ci_high",0.400573541441183,0.400573541441183,2.77555756156289e-16,2e-08,"PASS"
"BALANCE::PRJNA851469::cohen_dz",-0.448197241872727,-0.448197241872727,3.33066907387547e-16,2e-08,"PASS"
"BALANCE::PRJNA851469::t_p",0.117408732001302,0.117408732001302,4.02455846426619e-16,2e-08,"PASS"
"BALANCE::PRJNA851469::wilcoxon_p",0.187401192001721,0.187401192001721,4.44089209850063e-16,2e-08,"PASS"
"BALANCE::PRJNA516701::n",12,12,0,2e-08,"PASS"
"BALANCE::PRJNA516701::mean",1.46992918294372,1.46992918294372,3.33066907387547e-15,2e-08,"PASS"
"BALANCE::PRJNA516701::sd",4.26431322614837,4.26431322614837,3.5527136788005e-15,2e-08,"PASS"
"BALANCE::PRJNA516701::se",1.23100119451282,1.23100119451282,2.44249065417534e-15,2e-08,"PASS"
"BALANCE::PRJNA516701::ci_low",-1.23948617823409,-1.23948617823409,3.5527136788005e-15,2e-08,"PASS"
"BALANCE::PRJNA516701::ci_high",4.17934454412152,4.17934454412152,0,2e-08,"PASS"
"BALANCE::PRJNA516701::cohen_dz",0.344704787146087,0.344704787146087,4.44089209850063e-16,2e-08,"PASS"
"BALANCE::PRJNA516701::t_p",0.257556379279075,0.257556379279075,2.22044604925031e-16,2e-08,"PASS"
"BALANCE::PRJNA516701::wilcoxon_p",0.289587424426888,0.289587424426888,3.33066907387547e-16,2e-08,"PASS"
"BALANCE::PRJNA1125274::n",24,24,0,2e-08,"PASS"
"BALANCE::PRJNA1125274::mean",0.28661002327637,0.28661002327637,3.88578058618805e-16,2e-08,"PASS"
"BALANCE::PRJNA1125274::sd",2.9426668490072,2.9426668490072,8.88178419700125e-16,2e-08,"PASS"
"BALANCE::PRJNA1125274::se",0.600669355255936,0.600669355255936,2.22044604925031e-16,2e-08,"PASS"
"BALANCE::PRJNA1125274::ci_low",-0.955969209819325,-0.955969209819325,1.11022302462516e-16,2e-08,"PASS"
"BALANCE::PRJNA1125274::ci_high",1.52918925637207,1.52918925637207,4.21884749357559e-15,2e-08,"PASS"
"BALANCE::PRJNA1125274::cohen_dz",0.0973980535285763,0.0973980535285763,1.38777878078145e-17,2e-08,"PASS"
"BALANCE::PRJNA1125274::t_p",0.637757281333943,0.637757281333943,3.33066907387547e-16,2e-08,"PASS"
"BALANCE::PRJNA1125274::wilcoxon_p",0.539026540991256,0.539026540991256,2.22044604925031e-16,2e-08,"PASS"
"META::pooled_mean",-0.463817515521259,-0.463817515521259,5.55111512312578e-17,2e-08,"PASS"
"META::tau2",0.410850311837158,0.410850311837158,3.33066907387547e-16,2e-08,"PASS"
"META::ci_low",-3.46325652534875,-3.46325652534875,2.66453525910038e-15,2e-08,"PASS"
"META::ci_high",2.53562149430623,2.53562149430623,4.44089209850063e-15,2e-08,"PASS"
"META::p_value",0.574293386779268,0.574293386779268,3.33066907387547e-16,2e-08,"PASS"
"META::I2",46.2658542721449,46.2658542721449,3.5527136788005e-14,2e-08,"PASS"
"NATURAL_HISTORY_REML_HK",1,1,0,0,"PASS"
"PRJNA1125274_EXTERNAL_24",1,1,0,0,"PASS"
"HEALTHY::n",14,14,0,2e-08,"PASS"
"HEALTHY::mean",0.00564756353066419,0.00564756353066432,1.26634813746307e-16,2e-08,"PASS"
"HEALTHY::sd",0.0543183981038581,0.0543183981038581,2.08166817117217e-17,2e-08,"PASS"
"HEALTHY::ci_low",-0.0257149458074824,-0.0257149458074823,1.31838984174237e-16,2e-08,"PASS"
"HEALTHY::ci_high",0.0370100728688108,0.0370100728688109,8.32667268468867e-17,2e-08,"PASS"
"HEALTHY::t_p",0.70355455831003,0.703554558310024,6.43929354282591e-15,2e-08,"PASS"
