"scenario_id","taxonomy_policy","min_total_count","min_prevalence","population_id","metric","n_patients","n_features","retained_read_fraction","mean_paired_difference","sd_paired_difference","mean_ci_low","mean_ci_high","cohen_dz","hedges_gz","hedges_gz_ci_low","hedges_gz_ci_high","paired_t_p_value","wilcoxon_p_value","direction","sequence_processing_rerun","patient_mapping_changed","reference_mean","reference_gz","reference_p","delta_mean_vs_executed","delta_gz_vs_executed","direction_preserved","nominal_significance_preserved","mean_ci_excludes_zero","result_stable","reference_n_patients","same_n_as_reference","directional_inference_stable","strict_same_population_stability","stability_interpretation"
"EXCLUDE_EUKARYOTA_T20_P3","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",20,3,"COMPLETE_CASE_SENSITIVITY","bray_from_T0",30,5396,0.7348247679904047,0.23592674801846977,0.2959339159491999,0.12542320772818277,0.3464302883087568,0.7972278110190284,0.7764305637750538,0.35896169687760016,1.1938994306725077,1.46710393971112e-4,0.00148392763129517,"INCREASE",FALSE,FALSE,0.23266273729822623,0.7762693366250469,1.4707721522185348e-4,0.00326401072024351,1.612271500068818e-4,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,TRUE,"DIRECTION_EFFECT_AND_INFERENCE_STABLE"
"EXCLUDE_EUKARYOTA_T20_P3","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",20,3,"COMPLETE_CASE_SENSITIVITY","aitchison_from_T0_CZM",30,5396,0.7348247679904047,15.966982450076904,24.716215201864458,6.737796016266875,25.196168883886937,0.6460124383798229,0.6291599399873058,0.22934889044798856,1.028970989526623,0.00137803304867412,0.00360943334938421,"INCREASE",FALSE,FALSE,16.908798879162045,0.5765969697371497,0.00297444096478934,-0.94181642908514,0.0525629702501561,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,TRUE,"DIRECTION_EFFECT_AND_INFERENCE_STABLE"
"PROKARYOTE_ONLY_T20_P3","BACTERIA_OR_ARCHAEA_ONLY",20,3,"PRESPECIFIED_PRIMARY_DATE_CLEAN","bray_from_T0",24,3915,0.7175561705486355,0.19398956554060487,0.2791567721120505,0.07611199882880051,0.31186713225240925,0.6949126258801258,0.6720034184335283,0.21702667088003108,1.1269801659870256,0.00243266546991574,0.01913670885411005,"INCREASE",FALSE,FALSE,0.1919862419769893,0.6742287035063134,0.00236706997248474,0.00200332356361557,-0.00222528507278507,TRUE,TRUE,TRUE,TRUE,24,TRUE,TRUE,TRUE,"DIRECTION_EFFECT_AND_INFERENCE_STABLE"
"PROKARYOTE_ONLY_T20_P3","BACTERIA_OR_ARCHAEA_ONLY",20,3,"PRESPECIFIED_PRIMARY_DATE_CLEAN","aitchison_from_T0_CZM",24,3915,0.7175561705486355,14.13082567340196,22.803140700769397,4.501903835479718,23.7597475113242,0.6196876938502236,0.5992584292177986,0.15343429866949088,1.0450825597661062,0.00587383282882526,0.01639507184919227,"INCREASE",FALSE,FALSE,16.51844357003749,0.5560538171538496,0.00978092496324614,-2.387617896635531,0.04320461206394899,TRUE,TRUE,TRUE,TRUE,24,TRUE,TRUE,TRUE,"DIRECTION_EFFECT_AND_INFERENCE_STABLE"
"PROKARYOTE_ONLY_T20_P3","BACTERIA_OR_ARCHAEA_ONLY",20,3,"COMPLETE_CASE_SENSITIVITY","bray_from_T0",30,3915,0.7175561705486355,0.23668599021783077,0.2965019964848369,0.12597032516936407,0.34740165526629746,0.7982610337328198,0.7774368328528332,0.35983742733913177,1.1950362383665345,1.4444131991382385e-4,0.00138203585743999,"INCREASE",FALSE,FALSE,0.23266273729822623,0.7762693366250469,1.4707721522185348e-4,0.00402325291960453,0.00116749622778622,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,TRUE,"DIRECTION_EFFECT_AND_INFERENCE_STABLE"
"PROKARYOTE_ONLY_T20_P3","BACTERIA_OR_ARCHAEA_ONLY",20,3,"COMPLETE_CASE_SENSITIVITY","aitchison_from_T0_CZM",30,3915,0.7175561705486355,15.387730947037232,23.20858413879981,6.72150320414268,24.053958689931783,0.6630189439825509,0.6457227976177887,0.24407496795415864,1.0473706272814187,0.00107698549685346,0.00337885443771885,"INCREASE",FALSE,FALSE,16.908798879162045,0.5765969697371497,0.00297444096478934,-1.5210679321248133,0.06912582788063903,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,TRUE,"DIRECTION_EFFECT_AND_INFERENCE_STABLE"
"EXCLUDE_EUKARYOTA_T5_P2","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",5,2,"PRESPECIFIED_PRIMARY_DATE_CLEAN","bray_from_T0",24,10590,0.7693577641605968,0.19314299116327063,0.2787989025914537,0.07541653949685495,0.3108694428296863,0.6927681184107761,0.6699296090126187,0.21522560009897668,1.1246336179262606,0.0024953884776619,0.01771947129118139,"INCREASE",FALSE,FALSE,0.1919862419769893,0.6742287035063134,0.00236706997248474,0.00115674918628133,-0.00429909449369469,TRUE,TRUE,TRUE,TRUE,24,TRUE,TRUE,TRUE,"DIRECTION_EFFECT_AND_INFERENCE_STABLE"
"EXCLUDE_EUKARYOTA_T5_P2","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",5,2,"PRESPECIFIED_PRIMARY_DATE_CLEAN","aitchison_from_T0_CZM",23,10590,0.7693577641605968,15.947112517029144,26.11310984279473,4.65495703597426,27.23926799808403,0.6106937324980983,0.5896353279291984,0.13484911183820292,1.0444215440201938,0.00777368682710975,0.01767455609157179,"INCREASE",FALSE,FALSE,16.51844357003749,0.5560538171538496,0.00978092496324614,-0.5713310530083451,0.03358151077534876,TRUE,TRUE,TRUE,TRUE,24,FALSE,TRUE,FALSE,"DIRECTION_AND_INFERENCE_STABLE_WITH_CZM_ROW_LOSS"
"EXCLUDE_EUKARYOTA_T5_P2","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",5,2,"COMPLETE_CASE_SENSITIVITY","bray_from_T0",30,10590,0.7693577641605968,0.2342791862595328,0.2942564330847316,0.1244020283651448,0.34415634415392077,0.7961735408927211,0.7754037963476936,0.3580679949544835,1.192739597740904,1.4906204652790164e-4,0.00128663112060261,"INCREASE",FALSE,FALSE,0.23266273729822623,0.7762693366250469,1.4707721522185348e-4,0.00161644896130655,-8.65540277353305e-4,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,TRUE,"DIRECTION_EFFECT_AND_INFERENCE_STABLE"
"EXCLUDE_EUKARYOTA_T5_P2","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",5,2,"COMPLETE_CASE_SENSITIVITY","aitchison_from_T0_CZM",29,10590,0.7693577641605968,16.54693406119768,26.14733344893026,6.601020334521889,26.492847787873465,0.6328344759711872,0.6157308414854795,0.2102670663446291,1.02119461662633,0.00200122490985222,0.00477508165965294,"INCREASE",FALSE,FALSE,16.908798879162045,0.5765969697371497,0.00297444096478934,-0.3618648179643671,0.03913387174832983,TRUE,TRUE,TRUE,TRUE,30,FALSE,TRUE,FALSE,"DIRECTION_AND_INFERENCE_STABLE_WITH_CZM_ROW_LOSS"
"PROKARYOTE_ONLY_T5_P2","BACTERIA_OR_ARCHAEA_ONLY",5,2,"PRESPECIFIED_PRIMARY_DATE_CLEAN","bray_from_T0",24,6411,0.7464491319741516,0.19293913591003292,0.27897462292254416,0.07513848405533585,0.31073978776473,0.6916010276805767,0.6688009938009973,0.21424512990789835,1.1233568576940964,0.00253018295381752,0.01913670885411005,"INCREASE",FALSE,FALSE,0.1919862419769893,0.6742287035063134,0.00236706997248474,9.528939330436248e-4,-0.00542770970531603,TRUE,TRUE,TRUE,TRUE,24,TRUE,TRUE,TRUE,"DIRECTION_EFFECT_AND_INFERENCE_STABLE"
"PROKARYOTE_ONLY_T5_P2","BACTERIA_OR_ARCHAEA_ONLY",5,2,"PRESPECIFIED_PRIMARY_DATE_CLEAN","aitchison_from_T0_CZM",24,6411,0.7464491319741516,14.029661489828468,23.58967502821646,4.068615333540949,23.990707646115982,0.5947373786644828,0.5751306518953241,0.1321487454505409,1.0181125583401074,0.00782035255000804,0.01771947129118139,"INCREASE",FALSE,FALSE,16.51844357003749,0.5560538171538496,0.00978092496324614,-2.488782080209024,0.01907683474147448,TRUE,TRUE,TRUE,TRUE,24,TRUE,TRUE,TRUE,"DIRECTION_EFFECT_AND_INFERENCE_STABLE"
"PROKARYOTE_ONLY_T5_P2","BACTERIA_OR_ARCHAEA_ONLY",5,2,"COMPLETE_CASE_SENSITIVITY","bray_from_T0",30,6411,0.7464491319741516,0.23526836621645403,0.2953288320492422,0.12499076796766476,0.3455459644652433,0.7966318919286083,0.7758501904000359,0.35845655430682527,1.1932438264932466,1.4803510156646452e-4,0.00128663112060261,"INCREASE",FALSE,FALSE,0.23266273729822623,0.7762693366250469,1.4707721522185348e-4,0.00260562891822779,-4.191462250110467e-4,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,TRUE,"DIRECTION_EFFECT_AND_INFERENCE_STABLE"
"PROKARYOTE_ONLY_T5_P2","BACTERIA_OR_ARCHAEA_ONLY",5,2,"COMPLETE_CASE_SENSITIVITY","aitchison_from_T0_CZM",30,6411,0.7464491319741516,15.391566235619395,23.99623100576928,6.431226319000155,24.35190615223864,0.641415988699179,0.6246833976896352,0.2253620143407205,1.02400478103855,0.00147251175708111,0.00385423628687912,"INCREASE",FALSE,FALSE,16.908798879162045,0.5765969697371497,0.00297444096478934,-1.5172326435426484,0.04808642795248552,TRUE,TRUE,TRUE,TRUE,30,TRUE,TRUE,TRUE,"DIRECTION_EFFECT_AND_INFERENCE_STABLE"
