"scenario_id","taxonomy_policy","min_total_count","min_prevalence","population_id","metric","n_patients","n_features","retained_read_fraction","mean_paired_difference","sd_paired_difference","mean_ci_low","mean_ci_high","cohen_dz","hedges_gz","hedges_gz_ci_low","hedges_gz_ci_high","paired_t_p_value","wilcoxon_p_value","direction","sequence_processing_rerun","patient_mapping_changed"
"EXECUTED_ALL_FEATURES_T20_P3","ALL_FEATURES_AS_EXECUTED",20,3,"PRESPECIFIED_PRIMARY_DATE_CLEAN","bray_from_T0",24,9373,0.8057919377339854,0.1919862419769893,0.27536209040494913,0.07571102881976521,0.3082614551342134,0.6972137729440286,0.6742287035063134,0.21895854090471467,1.129498866107912,0.0023670699724847436,0.017719471291181392,"INCREASE",FALSE,FALSE
"EXECUTED_ALL_FEATURES_T20_P3","ALL_FEATURES_AS_EXECUTED",20,3,"PRESPECIFIED_PRIMARY_DATE_CLEAN","aitchison_from_T0_CZM",24,9373,0.8057919377339854,16.51844357003749,28.727218487703176,4.3880030720022525,28.64888406807273,0.5750101972840945,0.5560538171538496,0.11524875894729913,0.9968588753604001,0.009780924963246142,0.02584243384486978,"INCREASE",FALSE,FALSE
"EXECUTED_ALL_FEATURES_T20_P3","ALL_FEATURES_AS_EXECUTED",20,3,"COMPLETE_CASE_SENSITIVITY","bray_from_T0",30,9373,0.8057919377339854,0.23266273729822623,0.2919003287843991,0.12366536320842456,0.3416601113880279,0.7970622652846464,0.7762693366250469,0.35882137305355993,1.193717300196534,1.4707721522185348e-4,0.0013820358574399946,"INCREASE",FALSE,FALSE
"EXECUTED_ALL_FEATURES_T20_P3","ALL_FEATURES_AS_EXECUTED",20,3,"COMPLETE_CASE_SENSITIVITY","aitchison_from_T0_CZM",30,9373,0.8057919377339854,16.908798879162045,28.560156647152624,6.244261120342614,27.573336637981477,0.5920415314265376,0.5765969697371497,0.18235034808809625,0.9708435913862031,0.0029744409647893496,0.008216736457590431,"INCREASE",FALSE,FALSE
"DOCUMENTED_ALL_FEATURES_T5_P2","ALL_FEATURES_DOCUMENTED_ADDENDUM",5,2,"PRESPECIFIED_PRIMARY_DATE_CLEAN","bray_from_T0",24,22031,0.8599875731004069,0.19014308541225816,0.27375788916583654,0.07454526702913167,0.30574090379538466,0.6945665967532122,0.6716687968602492,0.21673610328119552,1.126601490439303,0.0024426812244145533,0.017719471291181392,"INCREASE",FALSE,FALSE
"DOCUMENTED_ALL_FEATURES_T5_P2","ALL_FEATURES_DOCUMENTED_ADDENDUM",5,2,"PRESPECIFIED_PRIMARY_DATE_CLEAN","aitchison_from_T0_CZM",23,22031,0.8599875731004069,17.223111607080973,31.079053528270652,3.783521042876476,30.66270217128547,0.5541710461489503,0.535061699730021,0.08662926093006484,0.9834941385299772,0.014376930866036164,0.033250394686861105,"INCREASE",FALSE,FALSE
"DOCUMENTED_ALL_FEATURES_T5_P2","ALL_FEATURES_DOCUMENTED_ADDENDUM",5,2,"COMPLETE_CASE_SENSITIVITY","bray_from_T0",30,22031,0.8599875731004069,0.23003788629110825,0.28896491780475414,0.12213661267501309,0.3379391599072034,0.7960754822373929,0.7753082957442435,0.3579848641030695,1.1926317273854177,1.492826626148316e-4,0.0013820358574399946,"INCREASE",FALSE,FALSE
"DOCUMENTED_ALL_FEATURES_T5_P2","ALL_FEATURES_DOCUMENTED_ADDENDUM",5,2,"COMPLETE_CASE_SENSITIVITY","aitchison_from_T0_CZM",28,22031,0.8599875731004069,19.15105387063088,29.763095408407374,7.6101302833509035,30.691977457910852,0.6434496683843293,0.6254090234763574,0.21134439043180975,1.039473656520905,0.0020845767361526053,0.004747923962975725,"INCREASE",FALSE,FALSE
"EXCLUDE_EUKARYOTA_T20_P3","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",20,3,"PRESPECIFIED_PRIMARY_DATE_CLEAN","bray_from_T0",24,5396,0.7348247679904047,0.19417497783618634,0.27940705994371734,0.07619172384210239,0.3121582318302703,0.6949537276377347,0.672043165188139,0.21706118367592792,1.12702514670035,0.002431478448975236,0.01913670885411005,"INCREASE",FALSE,FALSE
"EXCLUDE_EUKARYOTA_T20_P3","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",20,3,"PRESPECIFIED_PRIMARY_DATE_CLEAN","aitchison_from_T0_CZM",24,5396,0.7348247679904047,15.227711599970792,24.575250377024723,4.850493473181967,25.604929726759618,0.6196360715090456,0.5992085087120441,0.15339036021835745,1.0450266572057307,0.005877333193265365,0.014004698339500198,"INCREASE",FALSE,FALSE
"EXCLUDE_EUKARYOTA_T20_P3","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",20,3,"COMPLETE_CASE_SENSITIVITY","bray_from_T0",30,5396,0.7348247679904047,0.23592674801846975,0.2959339159491999,0.12542320772818275,0.3464302883087568,0.7972278110190284,0.7764305637750538,0.35896169687760016,1.1938994306725075,1.46710393971112e-4,0.001483927631295178,"INCREASE",FALSE,FALSE
"EXCLUDE_EUKARYOTA_T20_P3","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",20,3,"COMPLETE_CASE_SENSITIVITY","aitchison_from_T0_CZM",30,5396,0.7348247679904047,15.966982450076905,24.716215201864458,6.737796016266875,25.196168883886934,0.6460124383798229,0.6291599399873058,0.22934889044798856,1.028970989526623,0.001378033048674122,0.003609433349384215,"INCREASE",FALSE,FALSE
"PROKARYOTE_ONLY_T20_P3","BACTERIA_OR_ARCHAEA_ONLY",20,3,"PRESPECIFIED_PRIMARY_DATE_CLEAN","bray_from_T0",24,3915,0.7175561705486355,0.19398956554060487,0.2791567721120505,0.07611199882880051,0.31186713225240925,0.6949126258801258,0.6720034184335283,0.21702667088003108,1.1269801659870256,0.0024326654699157444,0.01913670885411005,"INCREASE",FALSE,FALSE
"PROKARYOTE_ONLY_T20_P3","BACTERIA_OR_ARCHAEA_ONLY",20,3,"PRESPECIFIED_PRIMARY_DATE_CLEAN","aitchison_from_T0_CZM",24,3915,0.7175561705486355,14.13082567340196,22.803140700769397,4.501903835479718,23.7597475113242,0.6196876938502236,0.5992584292177986,0.15343429866949088,1.0450825597661062,0.005873832828825269,0.01639507184919227,"INCREASE",FALSE,FALSE
"PROKARYOTE_ONLY_T20_P3","BACTERIA_OR_ARCHAEA_ONLY",20,3,"COMPLETE_CASE_SENSITIVITY","bray_from_T0",30,3915,0.7175561705486355,0.23668599021783077,0.2965019964848369,0.12597032516936407,0.34740165526629746,0.7982610337328198,0.7774368328528332,0.35983742733913177,1.1950362383665345,1.4444131991382385e-4,0.0013820358574399946,"INCREASE",FALSE,FALSE
"PROKARYOTE_ONLY_T20_P3","BACTERIA_OR_ARCHAEA_ONLY",20,3,"COMPLETE_CASE_SENSITIVITY","aitchison_from_T0_CZM",30,3915,0.7175561705486355,15.387730947037232,23.20858413879981,6.72150320414268,24.053958689931783,0.6630189439825509,0.6457227976177887,0.24407496795415862,1.0473706272814187,0.001076985496853462,0.003378854437718858,"INCREASE",FALSE,FALSE
"EXCLUDE_EUKARYOTA_T5_P2","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",5,2,"PRESPECIFIED_PRIMARY_DATE_CLEAN","bray_from_T0",24,10590,0.7693577641605968,0.19314299116327063,0.2787989025914537,0.07541653949685495,0.3108694428296863,0.6927681184107761,0.6699296090126187,0.21522560009897668,1.1246336179262606,0.002495388477661906,0.017719471291181392,"INCREASE",FALSE,FALSE
"EXCLUDE_EUKARYOTA_T5_P2","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",5,2,"PRESPECIFIED_PRIMARY_DATE_CLEAN","aitchison_from_T0_CZM",23,10590,0.7693577641605968,15.947112517029145,26.11310984279473,4.65495703597426,27.23926799808403,0.6106937324980983,0.5896353279291984,0.13484911183820292,1.0444215440201938,0.007773686827109755,0.017674556091571796,"INCREASE",FALSE,FALSE
"EXCLUDE_EUKARYOTA_T5_P2","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",5,2,"COMPLETE_CASE_SENSITIVITY","bray_from_T0",30,10590,0.7693577641605968,0.23427918625953278,0.2942564330847316,0.1244020283651448,0.34415634415392077,0.7961735408927211,0.7754037963476936,0.3580679949544835,1.1927395977409039,1.4906204652790164e-4,0.0012866311206026163,"INCREASE",FALSE,FALSE
"EXCLUDE_EUKARYOTA_T5_P2","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",5,2,"COMPLETE_CASE_SENSITIVITY","aitchison_from_T0_CZM",29,10590,0.7693577641605968,16.54693406119768,26.14733344893026,6.601020334521889,26.492847787873465,0.6328344759711872,0.6157308414854795,0.2102670663446291,1.02119461662633,0.0020012249098522285,0.004775081659652943,"INCREASE",FALSE,FALSE
"PROKARYOTE_ONLY_T5_P2","BACTERIA_OR_ARCHAEA_ONLY",5,2,"PRESPECIFIED_PRIMARY_DATE_CLEAN","bray_from_T0",24,6411,0.7464491319741516,0.19293913591003292,0.27897462292254416,0.07513848405533585,0.31073978776473,0.6916010276805767,0.6688009938009973,0.21424512990789835,1.1233568576940964,0.0025301829538175264,0.01913670885411005,"INCREASE",FALSE,FALSE
"PROKARYOTE_ONLY_T5_P2","BACTERIA_OR_ARCHAEA_ONLY",5,2,"PRESPECIFIED_PRIMARY_DATE_CLEAN","aitchison_from_T0_CZM",24,6411,0.7464491319741516,14.029661489828467,23.58967502821646,4.068615333540949,23.990707646115986,0.5947373786644828,0.5751306518953241,0.1321487454505409,1.0181125583401074,0.007820352550008047,0.017719471291181392,"INCREASE",FALSE,FALSE
"PROKARYOTE_ONLY_T5_P2","BACTERIA_OR_ARCHAEA_ONLY",5,2,"COMPLETE_CASE_SENSITIVITY","bray_from_T0",30,6411,0.7464491319741516,0.23526836621645403,0.2953288320492422,0.12499076796766476,0.3455459644652433,0.7966318919286083,0.7758501904000359,0.35845655430682527,1.1932438264932466,1.4803510156646452e-4,0.0012866311206026163,"INCREASE",FALSE,FALSE
"PROKARYOTE_ONLY_T5_P2","BACTERIA_OR_ARCHAEA_ONLY",5,2,"COMPLETE_CASE_SENSITIVITY","aitchison_from_T0_CZM",30,6411,0.7464491319741516,15.391566235619397,23.99623100576928,6.431226319000155,24.35190615223864,0.641415988699179,0.6246833976896352,0.2253620143407205,1.02400478103855,0.0014725117570811171,0.003854236286879129,"INCREASE",FALSE,FALSE
