"scenario_id","taxonomy_policy","min_total_count","min_prevalence","n_depth_qualified_samples","n_distance_samples","n_features","retained_reads","retained_read_fraction","min_retained_reads_per_sample","median_retained_reads_per_sample","eukaryota_features","eukaryota_read_fraction_within_retained","unclassified_kingdom_features","unclassified_kingdom_read_fraction_within_retained","min_sequence_length","max_sequence_length"
"EXECUTED_ALL_FEATURES_T20_P3","ALL_FEATURES_AS_EXECUTED",20,3,268,268,9373,12474411,0.8057919377339854,2042,36053.5,3977,0.0880713325863642,1481,0.021430590991430378,52,251
"DOCUMENTED_ALL_FEATURES_T5_P2","ALL_FEATURES_DOCUMENTED_ADDENDUM",5,2,268,268,22031,13313410,0.8599875731004069,2143,38789,11441,0.1053850215684787,4179,0.026638329323591777,44,251
"EXCLUDE_EUKARYOTA_T20_P3","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",20,3,268,268,5396,11375773,0.7348247679904047,2042,33892.5,0,0,1481,0.02350029312293767,52,251
"PROKARYOTE_ONLY_T20_P3","BACTERIA_OR_ARCHAEA_ONLY",20,3,268,268,3915,11108439,0.7175561705486355,1056,33362,0,0,0,0,52,251
"EXCLUDE_EUKARYOTA_T5_P2","EXCLUDE_EUKARYOTA_RETAIN_UNCLASSIFIED",5,2,268,268,10590,11910376,0.7693577641605968,2108,35101,0,0,4179,0.029776305970525194,44,251
"PROKARYOTE_ONLY_T5_P2","BACTERIA_OR_ARCHAEA_ONLY",5,2,268,268,6411,11555729,0.7464491319741516,1886,34311.5,0,0,0,0,50,251
